# station,time,measurement,value
28079035, Sat Jan 01 00:00:00 2011,8,57.38
28079035, Sat Jan 01 01:00:00 2011,8,61.73
28079035, Sat Jan 01 02:00:00 2011,8,64.57
28079035, Sat Jan 01 03:00:00 2011,8,53.97
28079035, Sat Jan 01 04:00:00 2011,8,46.87
28079035, Sat Jan 01 05:00:00 2011,8,41.62
28079035, Sat Jan 01 06:00:00 2011,8,39.09
28079035, Sat Jan 01 07:00:00 2011,8,46.27
28079035, Sat Jan 01 08:00:00 2011,8,44.7
28079035, Sat Jan 01 09:00:00 2011,8,50.61
28079035, Sat Jan 01 10:00:00 2011,8,42.15
28079035, Sat Jan 01 11:00:00 2011,8,41.46
28079035, Sat Jan 01 12:00:00 2011,8,46.94
28079035, Sat Jan 01 13:00:00 2011,8,45.57
28079035, Sat Jan 01 14:00:00 2011,8,42.86
28079035, Sat Jan 01 15:00:00 2011,8,32.74
28079035, Sat Jan 01 16:00:00 2011,8,32.02
28079035, Sat Jan 01 17:00:00 2011,8,41.1
28079035, Sat Jan 01 18:00:00 2011,8,56.6
28079035, Sat Jan 01 19:00:00 2011,8,52.06
28079035, Sat Jan 01 20:00:00 2011,8,51.03
28079035, Sat Jan 01 21:00:00 2011,8,52.66
28079035, Sat Jan 01 22:00:00 2011,8,49.28
28079035, Sat Jan 01 23:00:00 2011,8,52.87
28079035, Sun Jan 02 00:00:00 2011,8,47.85
28079035, Sun Jan 02 01:00:00 2011,8,55.56
28079035, Sun Jan 02 02:00:00 2011,8,49.95
28079035, Sun Jan 02 03:00:00 2011,8,48.45
28079035, Sun Jan 02 04:00:00 2011,8,51.3
28079035, Sun Jan 02 05:00:00 2011,8,30.76
28079035, Sun Jan 02 06:00:00 2011,8,42.55
28079035, Sun Jan 02 07:00:00 2011,8,55.76
28079035, Sun Jan 02 08:00:00 2011,8,49.15
28079035, Sun Jan 02 09:00:00 2011,8,55.67
28079035, Sun Jan 02 10:00:00 2011,8,54.31
28079035, Sun Jan 02 11:00:00 2011,8,55.87
28079035, Sun Jan 02 12:00:00 2011,8,50.64
28079035, Sun Jan 02 13:00:00 2011,8,47.07
28079035, Sun Jan 02 14:00:00 2011,8,41.58
28079035, Sun Jan 02 15:00:00 2011,8,46.3
28079035, Sun Jan 02 16:00:00 2011,8,71.49
28079035, Sun Jan 02 17:00:00 2011,8,81.53
28079035, Sun Jan 02 18:00:00 2011,8,77.81
28079035, Sun Jan 02 19:00:00 2011,8,83.47
28079035, Sun Jan 02 20:00:00 2011,8,75.66
28079035, Sun Jan 02 21:00:00 2011,8,70.46
28079035, Sun Jan 02 22:00:00 2011,8,73.46
28079035, Sun Jan 02 23:00:00 2011,8,67.81
28079035, Mon Jan 03 00:00:00 2011,8,67.71
28079035, Mon Jan 03 01:00:00 2011,8,75.32
28079035, Mon Jan 03 02:00:00 2011,8,64.56
28079035, Mon Jan 03 03:00:00 2011,8,65.99
28079035, Mon Jan 03 04:00:00 2011,8,63.29
28079035, Mon Jan 03 05:00:00 2011,8,55.51
28079035, Mon Jan 03 06:00:00 2011,8,57.87
28079035, Mon Jan 03 07:00:00 2011,8,61.97
28079035, Mon Jan 03 08:00:00 2011,8,61.43
28079035, Mon Jan 03 09:00:00 2011,8,80.86
28079035, Mon Jan 03 10:00:00 2011,8,94.17
28079035, Mon Jan 03 11:00:00 2011,8,72.55
28079035, Mon Jan 03 12:00:00 2011,8,58.88
28079035, Mon Jan 03 13:00:00 2011,8,67.22
28079035, Mon Jan 03 14:00:00 2011,8,67.43
28079035, Mon Jan 03 15:00:00 2011,8,63.91
28079035, Mon Jan 03 16:00:00 2011,8,44.53
28079035, Mon Jan 03 17:00:00 2011,8,49.99
28079035, Mon Jan 03 18:00:00 2011,8,58.59
28079035, Mon Jan 03 19:00:00 2011,8,60.07
28079035, Mon Jan 03 20:00:00 2011,8,62.11
28079035, Mon Jan 03 21:00:00 2011,8,58.3
28079035, Mon Jan 03 22:00:00 2011,8,62.32
28079035, Mon Jan 03 23:00:00 2011,8,38.4
28079035, Tue Jan 04 00:00:00 2011,8,43.56
28079035, Tue Jan 04 01:00:00 2011,8,52.58
28079035, Tue Jan 04 02:00:00 2011,8,45.77
28079035, Tue Jan 04 03:00:00 2011,8,25.81
28079035, Tue Jan 04 04:00:00 2011,8,15.99
28079035, Tue Jan 04 05:00:00 2011,8,18.69
28079035, Tue Jan 04 06:00:00 2011,8,23.86
28079035, Tue Jan 04 07:00:00 2011,8,43.74
28079035, Tue Jan 04 08:00:00 2011,8,48.92
28079035, Tue Jan 04 09:00:00 2011,8,51.57
28079035, Tue Jan 04 10:00:00 2011,8,46.6
28079035, Tue Jan 04 11:00:00 2011,8,44.6
28079035, Tue Jan 04 12:00:00 2011,8,42.78
28079035, Tue Jan 04 13:00:00 2011,8,49.44
28079035, Tue Jan 04 14:00:00 2011,8,51.33
28079035, Tue Jan 04 15:00:00 2011,8,46.85
28079035, Tue Jan 04 16:00:00 2011,8,46.54
28079035, Tue Jan 04 17:00:00 2011,8,54.95
28079035, Tue Jan 04 18:00:00 2011,8,56.35
28079035, Tue Jan 04 19:00:00 2011,8,56.17
28079035, Tue Jan 04 20:00:00 2011,8,60.51
28079035, Tue Jan 04 21:00:00 2011,8,61.68
28079035, Tue Jan 04 22:00:00 2011,8,44.5
28079035, Tue Jan 04 23:00:00 2011,8,39.77
28079035, Wed Jan 05 00:00:00 2011,8,36.72
28079035, Wed Jan 05 01:00:00 2011,8,30.15
28079035, Wed Jan 05 02:00:00 2011,8,28.96
